mine1,com.brilliant.connect.com.bd,9,10123,l,st,0,0,0,0,0,0,1347
mine1,com.facebook.orca,9,10091,l,st,0,0,0,0,0,0,1347
mine2,com.brilliant.connect.com.bd,9,10123,l,st,0,0,0,0,0,0,1347
mine2,com.facebook.orca,9,10091,l,st,0,0,0,0,0,0,1347
mine3,com.brilliant.connect.com.bd,9,10123,l,st,0,0,0,0,0,0,1347
mine3,com.facebook.orca,9,10091,l,st,0,0,0,0,0,0,1347
mine4,com.brilliant.connect.com.bd,9,10123,l,st,0,0,0,0,0,0,1347
mine4,com.facebook.orca,9,10091,l,st,0,0,0,0,0,0,1347
mine5,com.brilliant.connect.com.bd,9,10123,l,st,0,0,0,0,0,0,1347
mine5,com.facebook.orca,9,10091,l,st,0,0,0,0,0,0,1347
